time_stamp,measurements,Subject,Session,labels
1970-01-01 00:00:00.000,[ 2.800000e-01  9.833182e+00 -1.645454e-01 -1.542615e-03  0.000000e+00],4,1,0
1970-01-01 00:00:00.025,[ 3.100904e-01  9.830090e+00 -1.999096e-01 -1.590581e-03  2.650968e-03],4,1,0
1970-01-01 00:00:00.050,[ 3.280588e-01  9.828059e+00 -1.840294e-01  2.387167e-03  4.129056e-03],4,1,0
1970-01-01 00:00:00.075,[ 3.324770e-01  9.847864e+00 -1.660681e-01  5.956853e-04 -5.040130e-03],4,1,0
1970-01-01 00:00:00.100,[ 2.901972e-01  9.833465e+00 -1.650986e-01  3.854942e-04 -9.659877e-03],4,1,0
1970-01-01 00:00:00.125,[ 2.451565e-01  9.837735e+00 -1.277347e-01 -2.735343e-03 -3.587942e-03],4,1,0
1970-01-01 00:00:00.150,[ 3.000000e-01  9.864313e+00 -1.514699e-01 -2.524169e-03 -9.601379e-04],4,1,0
1970-01-01 00:00:00.175,[ 2.700000e-01  9.845299e+00 -1.441019e-01  5.846433e-04 -6.580847e-04],4,1,0
1970-01-01 00:00:00.200,[ 2.556865e-01  9.837254e+00 -1.400000e-01  1.111111e-03 -8.621454e-03],4,1,0
1970-01-01 00:00:00.225,[ 2.679201e-01  9.845840e+00 -1.262398e-01  1.478096e-03  3.669845e-04],4,1,0
1970-01-01 00:00:00.250,[ 2.743116e-01  9.837156e+00 -1.643116e-01 -1.111111e-03  5.074765e-03],4,1,0
1970-01-01 00:00:00.275,[ 2.986192e-01  9.844310e+00 -1.786192e-01  1.965660e-03  1.367673e-03],4,1,0
1970-01-01 00:00:00.300,[ 2.969537e-01  9.855651e+00 -1.456512e-01  1.377837e-03  5.334508e-04],4,1,0
1970-01-01 00:00:00.325,[ 2.784129e-01  9.811587e+00 -1.531742e-01 -1.520778e-03 -1.284998e-03],4,1,0
1970-01-01 00:00:00.350,[ 2.857797e-01  9.841331e+00 -1.471102e-01 -7.383961e-04  8.157527e-03],4,1,0
1970-01-01 00:00:00.375,[ 3.078873e-01  9.830000e+00 -1.439437e-01 -2.493382e-03  3.875653e-03],4,1,0
1970-01-01 00:00:00.400,[ 3.328871e-01  9.828591e+00 -1.457043e-01  2.355168e-06  8.884179e-04],4,1,0
1970-01-01 00:00:00.425,[ 3.048877e-01  9.863258e+00 -1.600000e-01 -2.918328e-03 -1.378920e-03],4,1,0
1970-01-01 00:00:00.450,[ 3.190616e-01  9.826246e+00 -1.681232e-01 -3.658396e-03 -8.374687e-03],4,1,0
1970-01-01 00:00:00.475,[ 2.971160e-01  9.807790e+00 -1.735580e-01  2.405157e-03 -8.980356e-03],4,1,0
1970-01-01 00:00:00.500,[ 2.800000e-01  9.856554e+00 -1.268929e-01  1.525964e-03 -8.474036e-03],4,1,0
1970-01-01 00:00:00.525,[ 2.884908e-01  9.823836e+00 -1.876728e-01 -3.544475e-03 -4.109264e-03],4,1,0
1970-01-01 00:00:00.550,[ 2.814574e-01  9.850000e+00 -1.585426e-01 -6.695498e-04 -6.754979e-03],4,1,0
1970-01-01 00:00:00.575,[ 2.354880e-01  9.835488e+00 -1.664640e-01  3.333333e-03 -5.564354e-05],4,1,0
1970-01-01 00:00:00.600,[ 2.456288e-01  9.821876e+00 -1.718763e-01  2.914061e-03  0.000000e+00],4,1,0
1970-01-01 00:00:00.625,[ 3.133683e-01  9.826632e+00 -1.933683e-01  1.111111e-03  1.111111e-03],4,1,0
1970-01-01 00:00:00.650,[ 3.047646e-01  9.825235e+00 -1.673823e-01 -1.735730e-03 -1.597603e-03],4,1,0
1970-01-01 00:00:00.675,[ 2.562075e-01  9.853104e+00 -1.524151e-01 -2.737991e-03 -3.689955e-03],4,1,0
1970-01-01 00:00:00.700,[ 2.700000e-01  9.846283e+00 -1.562828e-01 -2.336667e-03 -1.225556e-03],4,1,0
1970-01-01 00:00:00.725,[ 2.736616e-01  9.810000e+00 -1.800000e-01  5.584257e-04  2.780648e-03],4,1,0
1970-01-01 00:00:00.750,[ 3.050682e-01  9.803699e+00 -1.236988e-01 -3.397293e-04 -3.728217e-03],4,1,0
1970-01-01 00:00:00.775,[ 2.608050e-01  9.836935e+00 -1.561300e-01  3.333333e-03 -6.008865e-03],4,1,0
1970-01-01 00:00:00.800,[ 2.400000e-01  9.868688e+00 -1.484843e-01  1.592139e-03 -3.150414e-03],4,1,0
1970-01-01 00:00:00.825,[ 2.554061e-01  9.834594e+00 -1.691878e-01  3.079677e-03 -9.098447e-04],4,1,0
1970-01-01 00:00:00.850,[ 2.655544e-01  9.821109e+00 -1.733368e-01  8.496922e-04  2.614190e-04],4,1,0
1970-01-01 00:00:00.875,[ 2.411245e-01  9.821124e+00 -1.633734e-01  1.471021e-03 -4.053154e-03],4,1,0
1970-01-01 00:00:00.900,[ 2.746696e-01  9.845330e+00 -1.726652e-01  0.000000e+00 -7.634708e-04],4,1,0
1970-01-01 00:00:00.925,[ 2.340113e-01  9.837994e+00 -1.759887e-01  1.382018e-04 -6.246564e-04],4,1,0
1970-01-01 00:00:00.950,[ 2.366475e-01  9.816647e+00 -1.733525e-01  1.111111e-03 -2.211536e-03],4,1,0
1970-01-01 00:00:00.975,[ 2.919299e-01  9.830000e+00 -1.809650e-01 -3.941120e-04  3.228872e-04],4,1,0
1970-01-01 00:00:01.000,[ 3.100000e-01  9.830000e+00 -1.625183e-01 -2.700726e-03 -1.759909e-03],4,1,0
1970-01-01 00:00:01.025,[ 2.540977e-01  9.815902e+00 -1.781953e-01 -1.111111e-03 -6.862463e-03],4,1,0
1970-01-01 00:00:01.050,[ 2.433673e-01  9.850000e+00 -1.789115e-01  6.114497e-04 -6.167005e-03],4,1,0
1970-01-01 00:00:01.075,[ 2.731957e-01  9.845206e+00 -1.779892e-01  2.104152e-04  1.561459e-03],4,1,0
1970-01-01 00:00:01.100,[ 2.726136e-01  9.847386e+00 -1.700000e-01 -9.721860e-04  1.666522e-04],4,1,0
1970-01-01 00:00:01.125,[ 2.518366e-01  9.826327e+00 -1.600000e-01 -3.543507e-03 -2.222222e-03],4,1,0
1970-01-01 00:00:01.150,[ 2.510528e-01  9.830000e+00 -1.410528e-01 -1.958790e-03 -3.201617e-03],4,1,0
1970-01-01 00:00:01.175,[ 2.415635e-01  9.823127e+00 -1.478176e-01  9.103672e-04 -2.007439e-04],4,1,0
1970-01-01 00:00:01.200,[ 2.527313e-01  9.820000e+00 -1.672687e-01  8.525660e-04  2.816243e-03],4,1,0
1970-01-01 00:00:01.225,[ 2.489434e-01  9.848943e+00 -2.089434e-01 -5.111941e-03  4.448592e-03],4,1,0
1970-01-01 00:00:01.250,[ 2.444012e-01  9.811198e+00 -1.955988e-01 -2.561611e-03  5.812796e-03],4,1,0
1970-01-01 00:00:01.275,[ 2.600000e-01  9.844190e+00 -1.816192e-01 -5.185852e-03  3.705037e-03],4,1,0
1970-01-01 00:00:01.300,[ 2.500000e-01  9.858978e+00 -1.600000e-01 -5.716765e-03  7.886921e-04],4,1,0
1970-01-01 00:00:01.325,[ 2.126306e-01  9.860000e+00 -1.963153e-01 -2.222222e-03  2.989704e-03],4,1,0
1970-01-01 00:00:01.350,[ 2.343899e-01  9.822440e+00 -1.743899e-01 -1.684019e-04  8.675637e-03],4,1,0
1970-01-01 00:00:01.375,[ 2.999394e-01  9.840000e+00 -1.500202e-01 -3.291618e-03  8.888889e-03],4,1,0
1970-01-01 00:00:01.400,[ 2.993363e-01  9.857749e+00 -1.622511e-01 -1.586660e-03  2.702264e-03],4,1,0
1970-01-01 00:00:01.425,[ 1.804381e-01  9.839562e+00 -1.581752e-01 -1.300209e-03  2.844723e-03],4,1,0
1970-01-01 00:00:01.450,[ 2.543889e-01  9.860000e+00 -1.556111e-01  6.442005e-04  1.555556e-02],4,1,0
1970-01-01 00:00:01.475,[ 3.441188e-01  9.810000e+00 -1.605939e-01 -7.719206e-04  1.220351e-02],4,1,0
1970-01-01 00:00:01.500,[ 3.127573e-01  9.839853e+00 -1.826103e-01 -3.968368e-03  4.762361e-03],4,1,0
1970-01-01 00:00:01.525,[ 2.443254e-01  9.844325e+00 -1.673018e-01 -5.359670e-03  5.326749e-03],4,1,0
1970-01-01 00:00:01.550,[ 3.024647e-01  9.833479e+00 -2.020282e-01 -5.555556e-03  1.816594e-02],4,1,0
1970-01-01 00:00:01.575,[ 3.514699e-01  9.838530e+00 -1.714699e-01 -6.876140e-03  7.326959e-03],4,1,0
1970-01-01 00:00:01.600,[ 3.114509e-01  9.841451e+00 -1.394005e-01 -8.543415e-03 -5.275446e-03],4,1,0
1970-01-01 00:00:01.625,[ 2.317227e-01  9.858277e+00 -1.300000e-01 -7.064516e-03 -7.777778e-03],4,1,0
1970-01-01 00:00:01.650,[ 2.554511e-01  9.866353e+00 -1.145489e-01 -5.825189e-03 -3.322474e-03],4,1,0
1970-01-01 00:00:01.675,[ 2.988013e-01  9.828240e+00 -1.082397e-01 -3.150661e-03 -8.987764e-03],4,1,0
1970-01-01 00:00:01.700,[ 2.643063e-01  9.835694e+00 -9.430635e-02  4.105748e-04 -1.222222e-02],4,1,0
1970-01-01 00:00:01.725,[ 2.433209e-01  9.830000e+00 -1.125093e-01  3.636449e-03 -7.306369e-03],4,1,0
1970-01-01 00:00:01.750,[ 2.917590e-01  9.840000e+00 -1.207202e-01  5.869280e-03 -4.928107e-03],4,1,0
1970-01-01 00:00:01.775,[ 2.799513e-01  9.838293e+00 -1.266829e-01  7.693608e-03 -6.019722e-03],4,1,0
1970-01-01 00:00:01.800,[ 3.316754e-01  9.812775e+00 -1.572251e-01  8.995809e-03 -9.390984e-03],4,1,0
1970-01-01 00:00:01.825,[ 0.3063197   9.85632    -0.1247211   0.01111111 -0.01820713],4,1,0
1970-01-01 00:00:01.850,[ 0.2471119   9.846267   -0.15        0.01054527 -0.02472737],4,1,0
1970-01-01 00:00:01.875,[ 0.2101553   9.871907   -0.1398447   0.01636913 -0.02081357],4,1,0
1970-01-01 00:00:01.900,[ 0.1963416   9.765447   -0.1708944   0.0183924  -0.01962165],4,1,0
1970-01-01 00:00:01.925,[ 0.25        9.89       -0.1877863   0.01489191 -0.01067876],4,1,0
1970-01-01 00:00:01.950,[ 0.2833235   9.862235   -0.1966765   0.01555556 -0.01137533],4,1,0
1970-01-01 00:00:01.975,[ 0.3458011   9.762597   -0.19        0.01722299 -0.01916782],4,1,0
1970-01-01 00:00:02.000,[ 0.3750609   9.85747    -0.1800406   0.01491703 -0.03330807],4,1,0
1970-01-01 00:00:02.025,[ 0.2073218   9.853464   -0.1634644   0.0181929  -0.04971914],4,1,0
1970-01-01 00:00:02.050,[ 0.1285755   9.828575   -0.2157123   0.02094873 -0.04881882],4,1,0
1970-01-01 00:00:02.075,[ 0.2229191   9.862919   -0.2043064   0.01945649 -0.03646141],4,1,0
1970-01-01 00:00:02.100,[ 0.2427898   9.88279    -0.1803864   0.01666667 -0.04396285],4,1,0
1970-01-01 00:00:02.125,[ 0.1362208   9.836735   -0.1967353   0.01728291 -0.05394958],4,1,0
1970-01-01 00:00:02.150,[ 0.1248796   9.839066   -0.1858133   0.02133806 -0.04464777],4,1,0
1970-01-01 00:00:02.175,[ 0.14        9.832755   -0.1985031   0.02290034 -0.02888889],4,1,0
1970-01-01 00:00:02.200,[ 0.1525241   9.847668   -0.1574759   0.02743579 -0.02905988],4,1,0
1970-01-01 00:00:02.225,[ 0.1560477   9.838837   -0.210932    0.03289179 -0.02977197],4,1,0
1970-01-01 00:00:02.250,[ 0.1489856   9.817246   -0.1929348   0.03555556 -0.02680876],4,1,0
1970-01-01 00:00:02.275,[ 0.2075497   9.841109   -0.2531126   0.04222222 -0.01777778],4,1,0
1970-01-01 00:00:02.300,[ 0.198698    9.826524   -0.231302    0.04418342 -0.02202587],4,1,0
1970-01-01 00:00:02.325,[ 0.2331049  9.826149  -0.2438508  0.0513538 -0.0336652],4,1,0
1970-01-01 00:00:02.350,[ 0.2863789   9.822414   -0.3143965   0.05036568 -0.04709664],4,1,0
1970-01-01 00:00:02.375,[ 0.411549    9.835353   -0.37        0.04238307 -0.0827633 ],4,1,0
1970-01-01 00:00:02.400,[ 0.4075401  9.86508   -0.3475401  0.0419155 -0.1330923],4,1,0
1970-01-01 00:00:02.425,[ 0.4570185   9.834037   -0.3338516   0.03444444 -0.221224  ],4,1,0
1970-01-01 00:00:02.450,[ 0.3719887  9.818597  -0.2990057  0.03      -0.2847102],4,1,0
